graph,score,presence,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,stability,positive,micro,mean_score,0.5293834245823583,0.5290435782552686,0.529708183193867,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,positive,micro,top10_mean_score,0.9175088399674848,0.9170709011311283,0.9179200316909641,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,positive,micro,max_score,0.9976072239498233,0.9975048365113988,0.997707655009122,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,positive,micro,spatial_entropy,0.9251962142546453,0.9250379902227363,0.925348139136992,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,positive,micro,high_score_fraction,0.13695576067592324,0.1364121328233664,0.13750489724208653,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,positive,macro_class,mean_score,0.5299494279085885,0.5296147881359171,0.5302839491923554,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,positive,macro_class,top10_mean_score,0.9174644710118068,0.9170248639223062,0.9179070042647645,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,positive,macro_class,max_score,0.9976259329582696,0.997515898634068,0.9977339253302603,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,positive,macro_class,spatial_entropy,0.925015434611549,0.9248616572143149,0.9251576326687727,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,positive,macro_class,high_score_fraction,0.13676929227933368,0.1361913582595136,0.1373524693128829,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,absent,micro,mean_score,0.0014166037345437526,0.001262993251922142,0.0015741526812917005,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,absent,micro,top10_mean_score,0.009630308232346597,0.00884729426648114,0.010458375798797477,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,absent,micro,max_score,0.05432472117108087,0.05101897673515307,0.05776698055727949,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,absent,micro,spatial_entropy,0.9567586776927934,0.9539826932280362,0.959441288158109,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,absent,micro,high_score_fraction,0.00026410062347728295,0.0002370131953332556,0.0002934976277750661,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,absent,macro_class,mean_score,0.0014706790331685533,0.0013106519338851926,0.0016365800536154817,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,absent,macro_class,top10_mean_score,0.009959667662635537,0.009143840919986695,0.010824549203690328,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,absent,macro_class,max_score,0.05622324844129264,0.05270360973784516,0.05980403728111577,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,absent,macro_class,spatial_entropy,0.9552179738320936,0.95229898099275,0.9580016932379337,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,absent,macro_class,high_score_fraction,0.0002733987934602303,0.0002448260985698536,0.00030553712883420284,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,positive,micro,mean_score,0.3011376920978564,0.2919631752162475,0.31012609588785084,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,positive,micro,top10_mean_score,0.7110007231788558,0.6996225993824744,0.7223730056335296,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,positive,micro,max_score,0.95889060643323,0.9508549702103225,0.9665269133607347,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,positive,micro,spatial_entropy,0.8226730715062036,0.8131640698477608,0.8318140619074144,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,positive,micro,high_score_fraction,0.09741167148859985,0.09271829510102553,0.10206502291470107,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,positive,macro_class,mean_score,0.3081457078974638,0.3001478524425475,0.3161642930217623,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,positive,macro_class,top10_mean_score,0.7152739687715884,0.7042109433723119,0.7262640160150349,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,positive,macro_class,max_score,0.9595050170243871,0.9508492814393761,0.9676438831399511,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,positive,macro_class,spatial_entropy,0.8280677996876271,0.8184948020242274,0.8371728853723862,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,positive,macro_class,high_score_fraction,0.09761166868435651,0.09352807136380104,0.10167420082013819,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,absent,micro,mean_score,0.0005717591508813286,0.0005009388066089599,0.000645782974510414,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,absent,micro,top10_mean_score,0.0036245665668562573,0.0032869230714770046,0.003971736848931871,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,absent,micro,max_score,0.015536625891058748,0.014501059174749751,0.016628399024416464,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,absent,micro,spatial_entropy,0.956063333003493,0.9532183138716205,0.9587446632825586,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,absent,micro,high_score_fraction,9.091882057649294e-07,2.3942117562080335e-07,1.811521157733191e-06,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,absent,macro_class,mean_score,0.0005945718718854034,0.0005196874086948028,0.0006723019433571005,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,absent,macro_class,top10_mean_score,0.0037529607117524726,0.0034027028219874994,0.004122423781328671,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,absent,macro_class,max_score,0.016113855544403456,0.01503372667709094,0.017255160390503912,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,absent,macro_class,spatial_entropy,0.9544861081386143,0.9515379690929783,0.957323475666192,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,absent,macro_class,high_score_fraction,1.0159884287838789e-06,2.389928544311103e-07,2.1151432461843735e-06,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,positive,micro,mean_score,0.15513627198872224,0.15004918400319908,0.1600906106208565,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,positive,micro,top10_mean_score,0.4235324435116728,0.41414271370293126,0.43323314798184726,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,positive,micro,max_score,0.6804077257554253,0.6699994613416596,0.6905624562397132,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,positive,micro,spatial_entropy,0.7525074999822622,0.7417986234974981,0.7626676249596153,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
