row_type,graph,relevance_quintile,stability_level,metric,estimate,ci_low,ci_high,num_images,num_images_total,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_seed,bootstrap_unit
target_rate,B3_spatial_feature,0,high,target_probability,0.04101555879461713,0.035093302721666095,0.047332688027273154,1448,1449,5000,5000,20260901,whole image
target_rate,B3_spatial_feature,0,low,target_probability,0.08435600634896055,0.07551693467479241,0.09337265763120549,1449,1449,5000,5000,20260901,whole image
paired_high_minus_low,B3_spatial_feature,0,high_minus_low,target_probability,-0.04334044755434342,-0.05042511500444001,-0.036388562190281935,1449,1449,5000,5000,20260901,whole image
within_relevance_band_auc,B3_spatial_feature,0,continuous,stability_auc_target_bg,0.33201910981070804,0.3173748934777586,0.3466010137050964,718,1449,5000,5000,3021694564,
within_relevance_band_auc,B3_spatial_feature,0,continuous,stability_ap_target_bg,0.157762352862157,0.14279195797223332,0.1735630059864902,718,1449,5000,5000,3021694564,
within_relevance_band_auc,B3_spatial_feature,0,continuous,stability_auc_target_other,0.4516411871920361,0.42586943554935686,0.47765588249337376,256,1449,5000,5000,3021694564,
within_relevance_band_auc,B3_spatial_feature,0,continuous,stability_ap_target_other,0.3373940738474933,0.30399754768945597,0.37173883587218765,256,1449,5000,5000,3021694564,
within_relevance_band_auc,B3_spatial_feature,0,continuous,stability_auc_target_bg,0.3338697245153836,0.3171804036216972,0.35084329849043205,718,1449,5000,5000,3021694564,
within_relevance_band_auc,B3_spatial_feature,0,continuous,stability_ap_target_bg,0.16394306031236625,0.14668301938533537,0.18175229488685313,718,1449,5000,5000,3021694564,
within_relevance_band_auc,B3_spatial_feature,0,continuous,stability_auc_target_other,0.48404518745468017,0.4309901447758227,0.5325421686889119,256,1449,5000,5000,3021694564,
within_relevance_band_auc,B3_spatial_feature,0,continuous,stability_ap_target_other,0.39561689758781204,0.33573608318531845,0.4478409945699824,256,1449,5000,5000,3021694564,
target_rate,B3_spatial_feature,1,high,target_probability,0.06945272528112478,0.06208682890095022,0.07729560480626568,1449,1449,5000,5000,20260901,whole image
target_rate,B3_spatial_feature,1,low,target_probability,0.15841922441774386,0.14554969526128148,0.17151994688074312,1449,1449,5000,5000,20260901,whole image
