comparison,graph,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,micro,target_tail_enrich_05,-2.26478110654267,-2.7284092996048286,-1.8448326867046918,147,147,415,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,micro,target_tail_enrich_10,-1.1279566534971908,-1.340512105070178,-0.9312514495919789,147,147,415,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,micro,bg_tail_enrich_05,0.1402865033502519,0.12066052451962765,0.1605196847895229,145,147,464,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,micro,auc_target_bg,-0.04810936672172011,-0.05506227517649137,-0.04185502508210967,145,147,409,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,micro,auc_target_other,-0.020542652707721865,-0.025486684114019588,-0.015939067920645367,140,147,408,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,micro,ap_target_bg,-0.15296065347476548,-0.177519448058538,-0.13013099247160814,145,147,409,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,micro,ap_target_other,-0.05875279971791323,-0.07177748393124081,-0.04620177482214449,140,147,408,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,macro_class,target_hit,-0.12234947813072816,-0.17016476138862144,-0.0559184842912284,147,147,470,470,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,macro_class,target_tail_enrich_05,-2.360697709036888,-2.896395185985998,-1.8240867977433481,147,147,415,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,macro_class,target_tail_enrich_10,-1.319790811323882,-1.5421856525923903,-0.9393263355800288,147,147,415,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,macro_class,bg_tail_enrich_05,0.15739142985091456,0.11131868034563182,0.1841263529240179,145,147,464,470,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,macro_class,auc_target_bg,-0.05667353423246554,-0.06621709238658387,-0.04194193932749069,145,147,409,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,macro_class,auc_target_other,-0.013807479877348816,-0.020840027597061633,-0.007787531732516872,140,147,408,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,macro_class,ap_target_bg,-0.1822500303921099,-0.21305440625856015,-0.13801734586288916,145,147,409,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,macro_class,ap_target_other,-0.03782901735898945,-0.05413313265437079,-0.024311016082803172,140,147,408,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,micro,target_hit,0.5156031672100605,0.49187916175885804,0.5377186016811728,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,micro,target_tail_enrich_05,3.359355170960938,3.1868290379028346,3.533993750083976,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,micro,target_tail_enrich_10,2.629649922503048,2.517889725326376,2.7415089335250697,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,micro,bg_tail_enrich_05,-0.5073003240886068,-0.5413493879354371,-0.46986355569087274,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,micro,auc_target_bg,0.44855794606045263,0.43928761247124465,0.45796582359873267,1424,1449,2004,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,micro,auc_target_other,0.49181385401211,0.47597692667959796,0.5078777372319154,462,1449,1052,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,micro,ap_target_bg,0.3381149471856262,0.32829686096426786,0.3478736003430234,1424,1449,2004,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,micro,ap_target_other,0.36342554942143157,0.34642894099728805,0.38080131885273444,462,1449,1052,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,macro_class,target_hit,0.5085366282961254,0.48359660571409313,0.5323403623566049,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,macro_class,target_tail_enrich_05,3.300438158541314,3.114143504724083,3.4884210213813787,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,macro_class,target_tail_enrich_10,2.5666433185603776,2.4487444179682125,2.6862318908977714,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,macro_class,bg_tail_enrich_05,-0.5152842112838834,-0.5491974338783778,-0.47488727259526525,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,macro_class,auc_target_bg,0.4319132923075574,0.42232655581691775,0.4419042991432463,1424,1449,2004,2147,20,5000,5000,1.0,3021694564,20260901
