graph,relevance_quintile,stability_quintile,region,metric,estimate,ci_low,ci_high,num_images,num_images_total,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_seed,bootstrap_unit
B2_feature,2,1,other_fg,region_probability,0.13960575488796573,0.1272309943177552,0.15215371328268676,1449,1449,5000,5000,20260901,whole image
B2_feature,2,1,background,region_probability,0.6646189872808635,0.6464657927073376,0.6825490691042584,1449,1449,5000,5000,20260901,whole image
B2_feature,2,2,target,region_probability,0.172908772952492,0.1602209345149647,0.18537844848891497,1449,1449,5000,5000,20260901,whole image
B2_feature,2,2,other_fg,region_probability,0.13606820169046924,0.123793803298264,0.14855652830661184,1449,1449,5000,5000,20260901,whole image
B2_feature,2,2,background,region_probability,0.6905275429903818,0.6727581126729412,0.7083419340324113,1449,1449,5000,5000,20260901,whole image
B2_feature,2,3,target,region_probability,0.1594106292269022,0.14701010540786888,0.17181529934546355,1449,1449,5000,5000,20260901,whole image
B2_feature,2,3,other_fg,region_probability,0.1382188337568915,0.1252887334701998,0.15162626531482998,1449,1449,5000,5000,20260901,whole image
B2_feature,2,3,background,region_probability,0.7017872765904262,0.6836675362497733,0.7199392581844389,1449,1449,5000,5000,20260901,whole image
B2_feature,2,4,target,region_probability,0.15751835060449051,0.1449458603134727,0.17011844896213643,1449,1449,5000,5000,20260901,whole image
B2_feature,2,4,other_fg,region_probability,0.13668501727115717,0.12373872440929762,0.14976050539922395,1449,1449,5000,5000,20260901,whole image
B2_feature,2,4,background,region_probability,0.7052973877374784,0.6873274506777642,0.7235877390712547,1449,1449,5000,5000,20260901,whole image
B2_feature,3,0,target,region_probability,0.34141887865915777,0.32508232778225615,0.3577054812949382,1449,1449,5000,5000,20260901,whole image
B2_feature,3,0,other_fg,region_probability,0.10308109250965845,0.09308495297077318,0.1130912872579461,1449,1449,5000,5000,20260901,whole image
B2_feature,3,0,background,region_probability,0.5549234051550157,0.5364348533683904,0.5738531374846743,1449,1449,5000,5000,20260901,whole image
B2_feature,3,1,target,region_probability,0.3126560370047022,0.29721268242194415,0.3278589856629242,1449,1449,5000,5000,20260901,whole image
B2_feature,3,1,other_fg,region_probability,0.09641746695461717,0.08680037152149461,0.10602252717330458,1449,1449,5000,5000,20260901,whole image
B2_feature,3,1,background,region_probability,0.5903138354087212,0.572002738228488,0.6090843744150303,1449,1449,5000,5000,20260901,whole image
B2_feature,3,2,target,region_probability,0.3073271808135434,0.29155999824943724,0.32284706933632906,1449,1449,5000,5000,20260901,whole image
B2_feature,3,2,other_fg,region_probability,0.09067129085351516,0.08118045693085492,0.10024835148054019,1449,1449,5000,5000,20260901,whole image
B2_feature,3,2,background,region_probability,0.6012520573712673,0.5825189252320204,0.6202749543603389,1449,1449,5000,5000,20260901,whole image
B2_feature,3,3,target,region_probability,0.314416866981378,0.2978811398761077,0.3311979048203307,1449,1449,5000,5000,20260901,whole image
B2_feature,3,3,other_fg,region_probability,0.08731790668713256,0.07807124057833507,0.09683830013676412,1449,1449,5000,5000,20260901,whole image
B2_feature,3,3,background,region_probability,0.5977149642329636,0.5785415923614695,0.6171112751970734,1449,1449,5000,5000,20260901,whole image
B2_feature,3,4,target,region_probability,0.3217030411449016,0.30406717807964223,0.3389461198576415,1449,1449,5000,5000,20260901,whole image
B2_feature,3,4,other_fg,region_probability,0.08801431127012523,0.07836519655005011,0.09790675646167817,1449,1449,5000,5000,20260901,whole image
B2_feature,3,4,background,region_probability,0.5897101967799642,0.5696953295496744,0.6098506914470379,1449,1449,5000,5000,20260901,whole image
B2_feature,4,0,target,region_probability,0.6014851485148515,0.5858736787237295,0.6167997240733374,1449,1449,5000,5000,20260901,whole image
B2_feature,4,0,other_fg,region_probability,0.06638357801297372,0.05922675661461537,0.07342211605334607,1449,1449,5000,5000,20260901,whole image
B2_feature,4,0,background,region_probability,0.33116037896893136,0.3162004625647034,0.34670639660124647,1449,1449,5000,5000,20260901,whole image
B2_feature,4,1,target,region_probability,0.5784507224871421,0.5614477938342456,0.5949785827777779,1449,1449,5000,5000,20260901,whole image
B2_feature,4,1,other_fg,region_probability,0.05739558872257358,0.05086780124893994,0.06396114230782747,1449,1449,5000,5000,20260901,whole image
B2_feature,4,1,background,region_probability,0.36347658219641854,0.34730151336044957,0.3801665086577727,1449,1449,5000,5000,20260901,whole image
B2_feature,4,2,target,region_probability,0.5776215286559765,0.5599383420490346,0.5946155034290594,1449,1449,5000,5000,20260901,whole image
B2_feature,4,2,other_fg,region_probability,0.055845009863928374,0.048948740051428054,0.06283694854919093,1449,1449,5000,5000,20260901,whole image
B2_feature,4,2,background,region_probability,0.36582528200718295,0.349228624258015,0.38335713229474544,1449,1449,5000,5000,20260901,whole image
