method,seed,epoch,run,checkpoint,checkpoint_sha256,class_macro_mAP_percent,patch_macro_mAP_percent,class_val_loss,patch_val_loss,classification_images,cam_images,fixed_mean_iou_percent,fixed_semantic_foreground_precision_percent,fixed_semantic_foreground_recall_percent,fixed_threshold,best_mean_iou_percent,best_semantic_foreground_precision_percent,best_semantic_foreground_recall_percent,best_threshold,evaluation_seconds,evaluation_finished_utc,scope
gwrp,0,6,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_006.pth,e8ae41cccd5920de62a00459aa0b18ace8e5b22023feb66516261f067124ec2b,18.121271061781723,86.40780610677614,0.23491701728479875,0.07602950363446302,1449,1464,60.765130410972944,73.49542995326951,76.59502341202969,0.45,60.78952508709248,74.3180191862873,75.77892283411897,0.46,144.3365662097931,2026-09-16T14:32:31.892311+00:00,full
all_product,11,6,all_product_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s11/epoch_checkpoints/mctformerplus_epoch_006.pth,cc2922133e53c142a726ba534b256bb93dffe4df5d17f77c744104b27201361e,15.202697889517335,86.73175715717261,0.25032885170048724,0.07676543193574277,1449,1464,56.99601298362595,58.303353015756976,76.59838887191705,0.45,58.12798852770972,64.38063795576497,69.96391032073407,0.53,144.47576928138733,2026-09-16T14:39:48.146945+00:00,full
gwrp,11,6,gwrp_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s11/epoch_checkpoints/mctformerplus_epoch_006.pth,f6971d8fe7273c1726b8529840a43a93dd1dd21326919a322b6859e35390a8df,26.907219992880755,85.09127248378545,0.2142072147114512,0.0792234435862636,1449,1464,60.25785922977609,71.47473757899111,78.87566322815486,0.45,60.3752393031485,73.15927478127409,77.01346729991361,0.47,144.41577291488647,2026-09-16T14:37:22.937870+00:00,full
all_product,0,7,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_007.pth,e1f8896ddd0577ebe86d4d1695deec1b6342338a2b43805b1eef8af0ea20338f,30.983150215976142,87.57448248042158,0.19264333207209083,0.06978017945816962,1449,1464,64.13361792579086,70.50590667261676,82.93202858562638,0.45,64.40510728262613,72.91673778372166,80.9992442160261,0.48,144.47315883636475,2026-09-16T14:44:38.899320+00:00,full
gwrp,0,7,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_007.pth,89c61ef9c61d7fe81fe5f3f2d969e02dafe30bc5cc1d181a2d7bd476f5053afb,29.851136551681407,88.76258663808866,0.18732984957405416,0.06546300876399745,1449,1464,65.62302056294247,76.29690848752725,81.80214009064841,0.45,65.66588703042866,77.10396904789744,81.06199756425407,0.46,144.3969807624817,2026-09-16T14:42:13.499657+00:00,full
all_product,11,7,all_product_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s11/epoch_checkpoints/mctformerplus_epoch_007.pth,dd59f1d2faa267ba5401141827241902f1c7de1a5a92959ca64f9c3152862dd6,21.351219886116564,87.87517668610853,0.21437186249541446,0.0709268320647497,1449,1464,58.6668069058638,63.31863730412828,79.68151465721309,0.45,59.14235244476641,67.5786477843211,75.7909764744976,0.5,144.57657098770142,2026-09-16T14:49:30.012373+00:00,full
gwrp,11,7,gwrp_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s11/epoch_checkpoints/mctformerplus_epoch_007.pth,604387c25b06c10c3ec22be626f659121c64dab0058936724e6e5ab9b3a5925a,32.72335984583006,87.92221824010312,0.1826050914284112,0.0713546534060527,1449,1464,62.46829952021514,73.78728570137432,79.92143186417724,0.45,62.752979364553894,76.23924904989173,77.21863329747896,0.48,144.48472213745117,2026-09-16T14:47:04.761290+00:00,full
all_product,0,8,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_008.pth,ed4ac359c70a4bce280f16461ec43db35e1bbfcfa28ca3305511c306eacdc054,46.264608740818616,89.53374738538415,0.15229453375785412,0.06152062487754433,1449,1464,65.78323104784255,74.25755217161985,84.12524974170285,0.45,66.12485264718082,77.43109371111088,81.54459846183812,0.49,144.34297227859497,2026-09-16T14:54:20.599440+00:00,full
gwrp,0,8,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_008.pth,66b6c96f16be39f623d65f6a1c954c8891cd5133b8a34bbf3469a70e5f9845b5,35.76425115779725,90.23516951587402,0.16631111625024086,0.059748261858464276,1449,1464,65.18637486026803,77.8352047811554,81.28974617580525,0.45,65.26877867806976,79.4706463000805,79.68491944382274,0.47,144.36167740821838,2026-09-16T14:51:55.358123+00:00,full
all_product,11,8,all_product_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s11/epoch_checkpoints/mctformerplus_epoch_008.pth,aaee4fe8f8f45599ec0295b78ae6e9c710846a1866e39ab81bd7d7103257f22a,39.357706548438195,89.60483961358659,0.1722236830275827,0.06330852194581878,1449,1464,62.229270893296054,65.67832387969659,84.8399297279875,0.45,63.515237244906174,71.75799315392246,80.07485599575284,0.52,144.45127773284912,2026-09-16T14:59:11.474441+00:00,full
gwrp,11,8,gwrp_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s11/epoch_checkpoints/mctformerplus_epoch_008.pth,86557249f1b22bdf4508e198f8397516f1e2d75f62a68b657d45289ef1971e5f,49.11770437992266,89.45333754928907,0.13983604590632817,0.06382655319446033,1449,1464,65.67602705149233,78.88533217490148,79.85712813555172,0.45,65.67695521866315,79.6584711879519,78.9233635171473,0.46,144.3868420124054,2026-09-16T14:56:46.356620+00:00,full
all_product,0,9,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_009.pth,8ee8d4db1524464fd8615b45f3a451dddd93b5ac514d11bc6bf9e0c1d025e30f,56.55291446618481,90.34180175420857,0.12851601908995086,0.06198592341567336,1449,1464,66.3413709333983,74.55425921113513,85.17385897712678,0.45,66.93818172973847,78.5641491747447,81.82955535377586,0.5,144.32975482940674,2026-09-16T15:04:02.157319+00:00,full
gwrp,0,9,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_009.pth,36f24fba749e2fcf0a1a9f2b0113582b88397d6aa7403af87d5effbd7e64ae9c,38.518467805624006,91.19889340614611,0.1572768191496531,0.05894039742252677,1449,1464,64.93397060255222,78.74571863818298,79.37679154963122,0.45,64.93397060255222,78.74571863818298,79.37679154963122,0.45,144.55073976516724,2026-09-16T15:01:36.943859+00:00,full
all_product,11,9,all_product_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s11/epoch_checkpoints/mctformerplus_epoch_009.pth,a0aba2f8478ab7798ab03aa38a426d3fd03b44d675327d6803e08d4ab7e8a6e7,56.541933702411114,89.94579789256667,0.12846243027739068,0.0629084552615737,1449,1464,62.26673565661981,66.75024659303719,85.71653749325755,0.45,64.16893092543634,74.42458467143939,79.22398757021465,0.54,144.4291181564331,2026-09-16T15:08:52.691251+00:00,full
gwrp,11,9,gwrp_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s11/epoch_checkpoints/mctformerplus_epoch_009.pth,a994abce0f432b11356b64b95754944d55200504ad6939e9c27b76af45bc2438,52.62700423457044,90.25255847834522,0.12611166786291914,0.06091868885123705,1449,1464,66.06997871187039,79.38491710954048,80.33192419132953,0.45,66.10462312032618,80.19609287261758,79.43466384659783,0.46,144.38778805732727,2026-09-16T15:06:27.545890+00:00,full
all_product,0,10,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_010.pth,e9674c0207d54d8489a19f574f5d05856550a6dbe054c012e1d1d4eb6d8d0908,63.961881454222656,90.60210887330746,0.1114644259728589,0.062170379326580476,1449,1464,66.6193523193412,76.07741784619357,84.62112794575489,0.45,66.76006547830778,78.34851175470868,82.64363514318791,0.48,144.41023874282837,2026-09-16T15:13:43.312924+00:00,full
gwrp,0,10,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_010.pth,428de990b414f11177762960d3534bc3e21052b1a09231417896260efe94afab,43.45862877560962,91.45050852506704,0.14800619575136525,0.058256237737428246,1449,1464,66.21094492460496,79.97703867593104,80.50190336041851,0.45,66.233996471064,79.16461112385778,81.40383753483647,0.44,144.3684902191162,2026-09-16T15:11:17.946324+00:00,full
all_product,11,10,all_product_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s11/epoch_checkpoints/mctformerplus_epoch_010.pth,a18048e1c14761f91501bbd2b02ce2d103f9c47b816916439165172088c33d9e,59.170155354599906,89.61574197608056,0.11462304459883477,0.06253920731522282,1449,1464,60.46659333106368,65.06716489382882,82.3124330509821,0.45,62.18190102773605,72.72445433877317,74.92972125657893,0.54,144.43076753616333,2026-09-16T15:18:33.758200+00:00,full
gwrp,11,10,gwrp_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s11/epoch_checkpoints/mctformerplus_epoch_010.pth,3134778719300c4b225dfebc5d4c95ed2b13010d2c61eafe8465ba67f5f819b8,71.85510207014623,90.67556373464839,0.10364681445807733,0.05895682016041791,1449,1464,66.22208732919509,78.81718370112179,80.64131810346518,0.45,66.30140830733164,80.4620733363664,78.73471323037306,0.47,144.39796781539917,2026-09-16T15:16:08.611044+00:00,full
all_product,0,11,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_011.pth,d12c83c4e52122ca93f59be7c348d2d37c05ed6f6f9e805eb3a0114043252bea,70.99655416324784,91.14690816231293,0.09678458377688075,0.056895707535324136,1449,1464,67.05630389868574,77.50765227883447,84.19097377002916,0.45,67.17425890780721,79.03723211416113,82.75561042204728,0.47,144.3887345790863,2026-09-16T15:23:24.527446+00:00,full
gwrp,0,11,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_011.pth,c3f1a09d16dc50e4a0c95d4e1655a889771267f4ddd086d2e05c3ba067e14f21,44.44633943637764,91.45446990817155,0.14203786957955014,0.05446557099548515,1449,1464,65.94136518649917,80.40842087231724,79.69107710099195,0.45,65.97310941158301,79.60362567185982,80.61207566031797,0.44,144.3769452571869,2026-09-16T15:20:59.004198+00:00,full
all_product,11,11,all_product_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s11/epoch_checkpoints/mctformerplus_epoch_011.pth,6d482b9e175c21e166742c88a1415bdae1e73233b964a49b78f6aa0bd53b99e6,70.5244218385813,90.48987229549704,0.09726173651781964,0.06277797930071155,1449,1464,60.57731707295535,65.12018605749535,78.56530732388961,0.45,61.64514104595258,70.82848921961768,72.77570894849465,0.52,144.34957814216614,2026-09-16T15:28:14.864664+00:00,full
gwrp,11,11,gwrp_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s11/epoch_checkpoints/mctformerplus_epoch_011.pth,bda9592341d9f88cfa751a2c1a55c5bce503e455d4ed98b2524529e7ae57238c,77.67501104342026,91.19216319567981,0.08968358193289584,0.056970348819483554,1449,1464,67.1841316251922,78.85856671250966,81.8349128634033,0.45,67.27173734186007,80.46156700388605,79.98534383814622,0.47,144.3884699344635,2026-09-16T15:25:49.848595+00:00,full
all_product,0,12,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_012.pth,a481a2ba89fa21f01b305e6751ab53faae8672a4373d6babe422eb343ed6311f,75.22837709768957,91.30275644637373,0.09011299449505684,0.05672535089952029,1449,1464,67.80493383064702,78.02347739681083,84.62441172706522,0.45,68.00274167545541,80.37970175579022,82.46319960367134,0.48,144.33469796180725,2026-09-16T15:33:05.823174+00:00,full
gwrp,0,12,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_012.pth,5e39756e7ee54a53b00ba73fb35d1461471dda1f6341113b62cf95afeadc362e,46.8946212053232,91.62974751095746,0.13896804510148497,0.05435238182133358,1449,1464,67.37354047543224,81.59402240037785,80.98323975262464,0.45,67.38349505088598,80.77648403037378,81.87223997311142,0.44,144.4418432712555,2026-09-16T15:30:40.232081+00:00,full
