relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,reference_relation,comparison_relation
,per_class,all,micro,top20_jaccard,0.42378293641282017,0.3820006281064323,0.46534507821812976,79,79,79,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,s_last,patch_norm
,per_class,all,micro,map_spearman,-0.46485495430188417,-0.5485493861444698,-0.3794324670389365,103,103,103,103,,5000,5000,1.0,3021694564,20260901,2,bird,s_last,patch_norm
,per_class,all,micro,top05_jaccard,0.07272228893487302,0.03391099648451262,0.11767902345714151,103,103,103,103,,5000,5000,1.0,3021694564,20260901,2,bird,s_last,patch_norm
,per_class,all,micro,top10_jaccard,0.09127570040076764,0.05569331409870512,0.13147006669140185,103,103,103,103,,5000,5000,1.0,3021694564,20260901,2,bird,s_last,patch_norm
,per_class,all,micro,top20_jaccard,0.11368279676121831,0.08011732973262799,0.14952941962515895,103,103,103,103,,5000,5000,1.0,3021694564,20260901,2,bird,s_last,patch_norm
,per_class,all,micro,map_spearman,-0.3748592934625767,-0.47746788488273145,-0.26617978556527105,72,72,72,72,,5000,5000,1.0,3021694564,20260901,3,boat,s_last,patch_norm
,per_class,all,micro,top05_jaccard,0.02696152095421337,0.012973568572978662,0.0440989878582532,72,72,72,72,,5000,5000,1.0,3021694564,20260901,3,boat,s_last,patch_norm
,per_class,all,micro,top10_jaccard,0.0722405870398632,0.04685253271167956,0.10126728679845753,72,72,72,72,,5000,5000,1.0,3021694564,20260901,3,boat,s_last,patch_norm
,per_class,all,micro,top20_jaccard,0.14245524785202798,0.10472455167099033,0.18308020320714294,72,72,72,72,,5000,5000,1.0,3021694564,20260901,3,boat,s_last,patch_norm
,per_class,all,micro,map_spearman,-0.17681521535806857,-0.23366499424806167,-0.11613614843760718,96,96,96,96,,5000,5000,1.0,3021694564,20260901,4,bottle,s_last,patch_norm
,per_class,all,micro,top05_jaccard,0.17302795056274042,0.12615708713608856,0.2247126735453749,96,96,96,96,,5000,5000,1.0,3021694564,20260901,4,bottle,s_last,patch_norm
,per_class,all,micro,top10_jaccard,0.18731237845271312,0.15033879337651496,0.22682997627838464,96,96,96,96,,5000,5000,1.0,3021694564,20260901,4,bottle,s_last,patch_norm
,per_class,all,micro,top20_jaccard,0.2130394677392119,0.1842153685181408,0.24372472838996123,96,96,96,96,,5000,5000,1.0,3021694564,20260901,4,bottle,s_last,patch_norm
,per_class,all,micro,map_spearman,-0.13582089404745862,-0.21471570388545663,-0.05943326397504432,74,74,74,74,,5000,5000,1.0,3021694564,20260901,5,bus,s_last,patch_norm
,per_class,all,micro,top05_jaccard,0.14089747981557277,0.09303792908795193,0.19484952421061505,74,74,74,74,,5000,5000,1.0,3021694564,20260901,5,bus,s_last,patch_norm
,per_class,all,micro,top10_jaccard,0.15136538358618248,0.11100344502209411,0.19714645903512323,74,74,74,74,,5000,5000,1.0,3021694564,20260901,5,bus,s_last,patch_norm
