relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,comparison
,per_class,all,micro,binary_mask_jaccard,0.5575006309584615,0.4733002195014116,0.6438976830810487,50,50,67,67,,5000,5000,1.0,3021694564,20260901,1,bicycle,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.6558316274394952,0.5704556868992671,0.7407676934343149,50,50,67,67,,5000,5000,1.0,3021694564,20260901,1,bicycle,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.6358346952208951,0.5248754291167336,0.7499935158480272,50,50,67,67,,5000,5000,1.0,3021694564,20260901,1,bicycle,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.2039296122297881,0.08017877897573643,0.3573829310902602,9,9,12,12,,5000,5000,1.0,3021694564,20260901,2,bird,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.28404170203881157,0.1498146419428238,0.4425632137567781,9,9,12,12,,5000,5000,1.0,3021694564,20260901,2,bird,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.1676967401924863,0.009587628660042757,0.37391448570094205,9,9,12,12,,5000,5000,1.0,3021694564,20260901,2,bird,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.5850056015085477,0.4881043064337918,0.6801667687635677,21,21,24,24,,5000,5000,1.0,3021694564,20260901,3,boat,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.7013465462345218,0.6090146003811105,0.7909863019841635,21,21,24,24,,5000,5000,1.0,3021694564,20260901,3,boat,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.6724782689761487,0.5369831851810746,0.7977770940309344,21,21,24,24,,5000,5000,1.0,3021694564,20260901,3,boat,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.442562929661191,0.38550399967567206,0.5025275911713768,59,59,101,101,,5000,5000,1.0,3021694564,20260901,4,bottle,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.5620480366203948,0.5050485731007758,0.621738083181581,59,59,101,101,,5000,5000,1.0,3021694564,20260901,4,bottle,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.4797548513146731,0.3971992551076148,0.5653034834277478,59,59,101,101,,5000,5000,1.0,3021694564,20260901,4,bottle,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.5697207311105,0.5028993470363493,0.6298471594219323,38,38,51,51,,5000,5000,1.0,3021694564,20260901,5,bus,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.698660193590215,0.6339545421303013,0.7558772744520086,38,38,51,51,,5000,5000,1.0,3021694564,20260901,5,bus,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.6531504307260493,0.5544195070275961,0.7422497670199666,38,38,51,51,,5000,5000,1.0,3021694564,20260901,5,bus,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.5639138431925987,0.5003812852350787,0.6235653374565944,62,62,81,81,,5000,5000,1.0,3021694564,20260901,6,car,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.6784005634540181,0.6156022233750018,0.7360396486505308,62,62,81,81,,5000,5000,1.0,3021694564,20260901,6,car,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.6580256753345146,0.5752725371252287,0.7350806788579263,62,62,81,81,,5000,5000,1.0,3021694564,20260901,6,car,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.4782916377706779,0.39859992679995715,0.5593956432990232,29,29,41,41,,5000,5000,1.0,3021694564,20260901,7,cat,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.5987698438705347,0.5164084108739039,0.6792379323323801,29,29,41,41,,5000,5000,1.0,3021694564,20260901,7,cat,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.5795672692039063,0.4638308617428469,0.6952589697653779,29,29,41,41,,5000,5000,1.0,3021694564,20260901,7,cat,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.4560031945065829,0.4136145615797349,0.49673394539923565,103,103,167,167,,5000,5000,1.0,3021694564,20260901,8,chair,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.5863833527308123,0.5424135045044312,0.6282431005981407,103,103,167,167,,5000,5000,1.0,3021694564,20260901,8,chair,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.5399645746164214,0.47736889717022896,0.600390054584355,103,103,167,167,,5000,5000,1.0,3021694564,20260901,8,chair,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.4671448445945642,0.3399080683548253,0.6004000485237683,14,14,16,16,,5000,5000,1.0,3021694564,20260901,9,cow,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.5992672175221703,0.46023495859573776,0.7379314153386245,14,14,16,16,,5000,5000,1.0,3021694564,20260901,9,cow,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.5554695537644939,0.3547043609995665,0.7545353153403624,14,14,16,16,,5000,5000,1.0,3021694564,20260901,9,cow,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.45465229504324994,0.38598099760415405,0.5273217129872693,55,55,67,67,,5000,5000,1.0,3021694564,20260901,10,diningtable,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.5757750082534432,0.503066908007473,0.6491761819676821,55,55,67,67,,5000,5000,1.0,3021694564,20260901,10,diningtable,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.5089404603551259,0.41405222292292376,0.6089659940034046,55,55,67,67,,5000,5000,1.0,3021694564,20260901,10,diningtable,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.5809118215798114,0.48393327328915037,0.6749007844684638,40,40,49,49,,5000,5000,1.0,3021694564,20260901,11,dog,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.6758592892357838,0.5792201476669379,0.7698978293023885,40,40,49,49,,5000,5000,1.0,3021694564,20260901,11,dog,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.6585489984024483,0.5301624677119355,0.7819958688438589,40,40,49,49,,5000,5000,1.0,3021694564,20260901,11,dog,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.7624827637885543,0.6830172833232736,0.8258792480139835,35,35,35,35,,5000,5000,1.0,3021694564,20260901,12,horse,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.8386790170509841,0.7574600546310958,0.9036290812813627,35,35,35,35,,5000,5000,1.0,3021694564,20260901,12,horse,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.8685443062895505,0.7671672654987592,0.9484303752213972,35,35,35,35,,5000,5000,1.0,3021694564,20260901,12,horse,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.7015708385975401,0.6436990739930168,0.7553488928691336,48,48,50,50,,5000,5000,1.0,3021694564,20260901,13,motorbike,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.804260840636563,0.7521279530800364,0.8516956671881386,48,48,50,50,,5000,5000,1.0,3021694564,20260901,13,motorbike,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.8298319661742504,0.7594634148496305,0.8955143201572584,48,48,50,50,,5000,5000,1.0,3021694564,20260901,13,motorbike,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.5504218790220615,0.49188448439458554,0.6084434006588337,82,82,89,89,,5000,5000,1.0,3021694564,20260901,14,person,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.6699263810062421,0.6132223292940892,0.7259325996133705,82,82,89,89,,5000,5000,1.0,3021694564,20260901,14,person,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.6402929080960189,0.558914185445362,0.7213087935287862,82,82,89,89,,5000,5000,1.0,3021694564,20260901,14,person,positive_classes_same_image
