relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,transform,transform_kind
,all_rows,single_label,micro,readout_max_abs_error,6.3379722182484664e-15,6.282401184437671e-15,6.392585130786662e-15,927,927,927,927,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,single_label,micro,s_pos_map_spearman,0.9809906815235202,0.9750672277198369,0.9859356679265555,927,927,927,927,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,single_label,micro,s_pos_top10_jaccard,0.841257015101936,0.8329821265970202,0.8490357794648599,927,927,927,927,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,single_label,micro,s_pos_normalized_l1,0.4250374078630687,0.4152581496287659,0.4363384391160973,927,927,927,927,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,single_label,micro,s_pos_auc_target_bg,0.5700911450595914,0.5543031970736634,0.585737718852874,912,927,912,927,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,single_label,macro_class,s_last_max_abs_error,4.168485775619974e-11,4.132709925502271e-11,4.203435240837338e-11,927,927,927,927,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,single_label,macro_class,readout_max_abs_error,6.344932891834111e-15,6.273359036187127e-15,6.414014256779677e-15,927,927,927,927,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,single_label,macro_class,s_pos_map_spearman,0.9752026506732872,0.9617248316179842,0.9842708666118911,927,927,927,927,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,single_label,macro_class,s_pos_top10_jaccard,0.8376429670852152,0.8275876378823209,0.8467442985177667,927,927,927,927,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,single_label,macro_class,s_pos_normalized_l1,0.4286670047358741,0.41468535478585117,0.4447846303616298,927,927,927,927,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,single_label,macro_class,s_pos_auc_target_bg,0.5689224908686629,0.5526555850940384,0.5845253341228908,912,927,912,927,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,micro,s_last_max_abs_error,4.165728266040484e-11,4.1167368181049826e-11,4.2157019682539e-11,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,micro,readout_max_abs_error,6.1746163737552706e-15,6.086982769678192e-15,6.2622499778323494e-15,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,micro,s_pos_map_spearman,0.9227057116410461,0.9041760425094604,0.9396603681786715,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,micro,s_pos_top10_jaccard,0.8180854923046761,0.8040218414778922,0.8317632981623345,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,micro,s_pos_normalized_l1,0.6244722152275602,0.5771419339154252,0.6738499615304517,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,micro,s_pos_auc_target_bg,0.5552118320024085,0.5372502621619986,0.5728744779634316,367,375,683,750,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,micro,s_pos_auc_target_other,0.5487023505430406,0.5367750206724683,0.5618084832945626,322,375,644,750,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,macro_class,s_last_max_abs_error,4.1638075916950884e-11,4.1077891984587286e-11,4.2193900455840056e-11,375,375,750,750,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,macro_class,readout_max_abs_error,6.197384082209019e-15,6.1004442590111276e-15,6.289355276970656e-15,375,375,750,750,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,macro_class,s_pos_map_spearman,0.9263821822753876,0.9034742574413684,0.9452808489680458,375,375,750,750,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,macro_class,s_pos_top10_jaccard,0.8132414606232097,0.795767044678937,0.8298980641542826,375,375,750,750,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,macro_class,s_pos_normalized_l1,0.5990274908858286,0.553430592564043,0.6471405810118791,375,375,750,750,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,macro_class,s_pos_auc_target_bg,0.5349819155993822,0.5135215316532225,0.5587698104798738,367,375,683,750,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,exactly_2_labels,macro_class,s_pos_auc_target_other,0.563967328273407,0.5314862736787006,0.596543678953308,322,375,644,750,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,micro,s_last_max_abs_error,4.228182815689039e-11,4.151411923286759e-11,4.303522586527607e-11,147,147,470,470,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,micro,readout_max_abs_error,6.086856786923624e-15,5.941932485085126e-15,6.2248240203716664e-15,147,147,470,470,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,micro,s_pos_map_spearman,0.8841267477147374,0.8578277297792246,0.909044877130227,147,147,470,470,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,micro,s_pos_top10_jaccard,0.7759340043428193,0.7563030357043056,0.794919840396341,147,147,470,470,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,micro,s_pos_normalized_l1,0.6944024250194982,0.6439166852242519,0.7474002018565292,147,147,470,470,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,micro,s_pos_auc_target_bg,0.5443855160624321,0.5218703783468979,0.5671395502857232,145,147,409,470,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,micro,s_pos_auc_target_other,0.5560125469472019,0.5380305180554826,0.5742667633589404,140,147,408,470,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,macro_class,s_last_max_abs_error,4.1305128137218e-11,4.048453528486978e-11,4.2184802792514316e-11,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,macro_class,readout_max_abs_error,6.074370744161544e-15,5.876996525514407e-15,6.250254926074113e-15,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,macro_class,s_pos_map_spearman,0.9068810342377984,0.8837445421851571,0.924886487935658,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,macro_class,s_pos_top10_jaccard,0.7724481797387633,0.7509864930345453,0.7988394570036682,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,macro_class,s_pos_normalized_l1,0.7224850360393007,0.6488840225986381,0.8213611596075849,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,macro_class,s_pos_auc_target_bg,0.5447750255098979,0.5100714468803647,0.5824785557884372,145,147,409,470,19,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,3plus_labels,macro_class,s_pos_auc_target_other,0.5948628359326462,0.5429753502469563,0.628473290127693,140,147,408,470,19,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,micro,s_last_max_abs_error,4.111153274665239e-11,4.074551284996323e-11,4.1472809153813265e-11,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,micro,readout_max_abs_error,5.642642591853613e-15,5.602681746436144e-15,5.682585784568508e-15,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,micro,s_pos_map_spearman,0.9386991614603697,0.9297362228438952,0.9472042343266953,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,micro,s_pos_top10_jaccard,0.8080618559041352,0.8009596393770444,0.8151632468701391,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,micro,s_pos_normalized_l1,0.5726646899713788,0.5512524974480012,0.5957512565095853,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,micro,s_pos_auc_target_bg,0.5589846121935741,0.5481425676737365,0.5696373752194794,1424,1449,2004,2147,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,micro,s_pos_auc_target_other,0.5500201338151142,0.5396185684001888,0.560920366111643,462,1449,1052,2147,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,macro_class,s_last_max_abs_error,4.115036791456297e-11,4.078844156624238e-11,4.1508793001068835e-11,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,macro_class,readout_max_abs_error,5.642815429160064e-15,5.603388270007076e-15,5.682051967149172e-15,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,macro_class,s_pos_map_spearman,0.9396173663379669,0.9303465766409368,0.9484102634791015,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,macro_class,s_pos_top10_jaccard,0.8028463633053835,0.795122209945915,0.8102659399156198,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,macro_class,s_pos_normalized_l1,0.5602475389003269,0.5412619846844826,0.5801258484759366,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,macro_class,s_pos_auc_target_bg,0.5532499813187756,0.5437556654631595,0.562546417143478,1424,1449,2004,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,all,macro_class,s_pos_auc_target_other,0.5720766244950559,0.54474450602655,0.5997635384154915,462,1449,1052,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,micro,s_last_max_abs_error,4.11852951359482e-11,4.080658428925527e-11,4.157190396791543e-11,927,927,927,927,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,micro,readout_max_abs_error,5.6222556276163266e-15,5.5781820490767305e-15,5.666329206155923e-15,927,927,927,927,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,micro,s_pos_map_spearman,0.9805027073286414,0.9745442408988487,0.9855238562991324,927,927,927,927,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,micro,s_pos_top10_jaccard,0.8336334049457774,0.8259452026088027,0.8411333109483136,927,927,927,927,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,micro,s_pos_normalized_l1,0.4360588928810362,0.42598325074183346,0.4478302154145119,927,927,927,927,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,micro,s_pos_auc_target_bg,0.5683497492663258,0.5528207919013863,0.5839360243366314,912,927,912,927,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,macro_class,s_last_max_abs_error,4.086551659813007e-11,4.033726104314034e-11,4.143449774721047e-11,927,927,927,927,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,macro_class,readout_max_abs_error,5.584889304771026e-15,5.5410759943370985e-15,5.630398204541642e-15,927,927,927,927,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,macro_class,s_pos_map_spearman,0.974377362511613,0.9606438261038189,0.983697495971618,927,927,927,927,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,macro_class,s_pos_top10_jaccard,0.8323495898527989,0.8219875527993092,0.8414354986341217,927,927,927,927,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,macro_class,s_pos_normalized_l1,0.438964576365399,0.4241808748049363,0.4566137825237204,927,927,927,927,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,single_label,macro_class,s_pos_auc_target_bg,0.5702254773877378,0.5534479352253424,0.5859819963723156,912,927,912,927,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,exactly_2_labels,micro,s_last_max_abs_error,4.1046102220813436e-11,4.035731156667074e-11,4.1739743513365584e-11,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,exactly_2_labels,micro,readout_max_abs_error,5.6867103618666685e-15,5.613287612504792e-15,5.757764635442679e-15,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,exactly_2_labels,micro,s_pos_map_spearman,0.9222574782450663,0.9039065208595332,0.9385355453534064,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,exactly_2_labels,micro,s_pos_top10_jaccard,0.8016443393948707,0.78807384169757,0.8146813159628656,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,exactly_2_labels,micro,s_pos_normalized_l1,0.6438928073159387,0.5974828092434672,0.6929578907685209,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,exactly_2_labels,micro,s_pos_auc_target_bg,0.5513161945531984,0.5331442016800542,0.5692787576394378,367,375,683,750,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,exactly_2_labels,micro,s_pos_auc_target_other,0.5449640155719551,0.5330824177407569,0.5580393631299624,322,375,644,750,,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
,all_rows,exactly_2_labels,macro_class,s_last_max_abs_error,4.066697995494603e-11,3.992346660225689e-11,4.148016706515323e-11,375,375,750,750,20,5000,5000,1.0,3021694564,20260901,,,haar_02,haar
