relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,presence
s_last,per_class,all,micro,max_score,11351.096068131295,11095.277553821365,11609.58817481708,1330,1330,1330,1330,,5000,5000,1.0,3021694564,20260901,7,cat,absent
s_last,per_class,all,micro,top10_mean_score,4168.725278955419,4024.116490895932,4314.153924023077,1330,1330,1330,1330,,5000,5000,1.0,3021694564,20260901,7,cat,absent
s_last,per_class,all,micro,spatial_entropy,0.0004639061022097507,0.00016970608232823038,0.0008277591743223811,1330,1330,1330,1330,,5000,5000,1.0,3021694564,20260901,7,cat,absent
s_last,per_class,all,micro,foreground_mass,0.3838567549383405,0.3590879311922898,0.4097744828862101,1330,1330,1330,1330,,5000,5000,1.0,3021694564,20260901,7,cat,absent
s_last,per_class,all,micro,background_mass,0.578549261341992,0.5522282220766674,0.6041164192463507,1330,1330,1330,1330,,5000,5000,1.0,3021694564,20260901,7,cat,absent
s_last,per_class,all,micro,max_score,10020.918476772165,9716.69602535875,10314.363776040112,1326,1326,1326,1326,,5000,5000,1.0,3021694564,20260901,8,chair,absent
s_last,per_class,all,micro,top10_mean_score,3789.7336368226865,3636.047468582796,3942.5832967705855,1326,1326,1326,1326,,5000,5000,1.0,3021694564,20260901,8,chair,absent
s_last,per_class,all,micro,spatial_entropy,0.0007651478589078419,0.0003691460334152228,0.0012458005827623428,1326,1326,1326,1326,,5000,5000,1.0,3021694564,20260901,8,chair,absent
s_last,per_class,all,micro,foreground_mass,0.4035398355294661,0.37682097922961083,0.43061803559055856,1326,1326,1326,1326,,5000,5000,1.0,3021694564,20260901,8,chair,absent
s_last,per_class,all,micro,background_mass,0.5569372653139778,0.5300737164105307,0.5842132232750302,1326,1326,1326,1326,,5000,5000,1.0,3021694564,20260901,8,chair,absent
s_last,per_class,all,micro,max_score,10737.734773050372,10513.486316990091,10963.840941022718,1378,1378,1378,1378,,5000,5000,1.0,3021694564,20260901,9,cow,absent
s_last,per_class,all,micro,top10_mean_score,3909.5950520362485,3777.531110829504,4045.029751736071,1378,1378,1378,1378,,5000,5000,1.0,3021694564,20260901,9,cow,absent
s_last,per_class,all,micro,spatial_entropy,0.0002607213736051041,9.042210436782246e-05,0.00047850994844474533,1378,1378,1378,1378,,5000,5000,1.0,3021694564,20260901,9,cow,absent
s_last,per_class,all,micro,foreground_mass,0.3780432571456848,0.35263119242100244,0.4041348911124581,1378,1378,1378,1378,,5000,5000,1.0,3021694564,20260901,9,cow,absent
s_last,per_class,all,micro,background_mass,0.5835177922757842,0.5573066714272293,0.6089404435829008,1378,1378,1378,1378,,5000,5000,1.0,3021694564,20260901,9,cow,absent
s_last,per_class,all,micro,max_score,11521.611205877001,11255.771107856885,11796.565350400379,1374,1374,1374,1374,,5000,5000,1.0,3021694564,20260901,10,diningtable,absent
s_last,per_class,all,micro,top10_mean_score,4309.123311308518,4159.709553273242,4457.607697807162,1374,1374,1374,1374,,5000,5000,1.0,3021694564,20260901,10,diningtable,absent
s_last,per_class,all,micro,spatial_entropy,0.0001720753108483744,3.4447234334345484e-05,0.00037043135724241485,1374,1374,1374,1374,,5000,5000,1.0,3021694564,20260901,10,diningtable,absent
s_last,per_class,all,micro,foreground_mass,0.3742388634281688,0.34934512935226913,0.39956733015662776,1374,1374,1374,1374,,5000,5000,1.0,3021694564,20260901,10,diningtable,absent
s_last,per_class,all,micro,background_mass,0.5851520443112703,0.5589512483290958,0.6099163295429233,1374,1374,1374,1374,,5000,5000,1.0,3021694564,20260901,10,diningtable,absent
s_last,per_class,all,micro,max_score,11122.679123352189,10853.235433050902,11386.104327527435,1321,1321,1321,1321,,5000,5000,1.0,3021694564,20260901,11,dog,absent
s_last,per_class,all,micro,top10_mean_score,4286.738006096475,4136.665555662928,4436.616587092304,1321,1321,1321,1321,,5000,5000,1.0,3021694564,20260901,11,dog,absent
