relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,term
,per_class,all,micro,auc_target_other,0.47777658516176247,0.411547607400295,0.5440144742565818,66,127,66,127,,5000,5000,1.0,3021694564,20260901,6,car,s_last
,per_class,all,micro,target_mean,994.6371630510157,897.6805388097014,1088.642582416791,119,119,119,119,,5000,5000,1.0,3021694564,20260901,7,cat,s_last
,per_class,all,micro,other_fg_mean,-236.65777122442796,-470.4039909159123,-54.25287638707143,30,119,30,119,,5000,5000,1.0,3021694564,20260901,7,cat,s_last
,per_class,all,micro,bg_mean,-455.0545272303937,-588.2649786736054,-330.7537091665243,113,119,113,119,,5000,5000,1.0,3021694564,20260901,7,cat,s_last
,per_class,all,micro,auc_target_bg,0.8248617432499932,0.797953032040304,0.84950958778281,113,119,113,119,,5000,5000,1.0,3021694564,20260901,7,cat,s_last
,per_class,all,micro,auc_target_other,0.7874676331298097,0.7127763749265883,0.8495522262031804,30,119,30,119,,5000,5000,1.0,3021694564,20260901,7,cat,s_last
,per_class,all,micro,target_mean,8.754219234465298,-79.31400148694334,109.94431050317976,112,123,112,123,,5000,5000,1.0,3021694564,20260901,8,chair,s_last
,per_class,all,micro,other_fg_mean,-53.339368822907076,-135.73819343956166,25.595563979562172,107,123,107,123,,5000,5000,1.0,3021694564,20260901,8,chair,s_last
,per_class,all,micro,bg_mean,-51.13081259970333,-99.25564115778967,3.079551117507212,122,123,122,123,,5000,5000,1.0,3021694564,20260901,8,chair,s_last
,per_class,all,micro,auc_target_bg,0.4550453373976497,0.4128017233212979,0.4978927637145259,111,123,111,123,,5000,5000,1.0,3021694564,20260901,8,chair,s_last
,per_class,all,micro,auc_target_other,0.4546137783164883,0.40088486637198956,0.5075062161477604,96,123,96,123,,5000,5000,1.0,3021694564,20260901,8,chair,s_last
,per_class,all,micro,target_mean,-826.2252087974646,-906.6093319402488,-748.3644981064194,71,71,71,71,,5000,5000,1.0,3021694564,20260901,9,cow,s_last
,per_class,all,micro,other_fg_mean,-515.8773569811035,-791.95643021129,-267.08598678658615,14,71,14,71,,5000,5000,1.0,3021694564,20260901,9,cow,s_last
,per_class,all,micro,bg_mean,-477.1594138306595,-577.5766328034844,-377.6832052724947,71,71,71,71,,5000,5000,1.0,3021694564,20260901,9,cow,s_last
,per_class,all,micro,auc_target_bg,0.2908387835023551,0.24674074623117112,0.33643964616294086,71,71,71,71,,5000,5000,1.0,3021694564,20260901,9,cow,s_last
,per_class,all,micro,auc_target_other,0.4324058704850246,0.27348887312769954,0.6009251197126841,14,71,14,71,,5000,5000,1.0,3021694564,20260901,9,cow,s_last
,per_class,all,micro,target_mean,74.41705204927749,-18.714159094665153,172.25750449601875,73,75,73,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,s_last
,per_class,all,micro,other_fg_mean,105.49866692695271,26.454777067766702,205.21693430303247,70,75,70,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,s_last
,per_class,all,micro,bg_mean,74.36052771888848,-26.43778623967254,191.565419252357,73,75,73,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,s_last
,per_class,all,micro,auc_target_bg,0.6068684231209166,0.5626977197917425,0.6492874718226017,71,75,71,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,s_last
,per_class,all,micro,auc_target_other,0.5437356096613453,0.4917072223063192,0.5982793737138186,68,75,68,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,s_last
,per_class,all,micro,target_mean,477.739816456132,384.5798054563867,566.9946881426044,128,128,128,128,,5000,5000,1.0,3021694564,20260901,11,dog,s_last
,per_class,all,micro,other_fg_mean,180.32989086701315,14.807725142215293,323.5428431723478,43,128,43,128,,5000,5000,1.0,3021694564,20260901,11,dog,s_last
,per_class,all,micro,bg_mean,134.68098662879024,59.509308312433454,204.07336040039442,124,128,124,128,,5000,5000,1.0,3021694564,20260901,11,dog,s_last
,per_class,all,micro,auc_target_bg,0.6197061543051244,0.5796797482931686,0.65990034834834,124,128,124,128,,5000,5000,1.0,3021694564,20260901,11,dog,s_last
,per_class,all,micro,auc_target_other,0.5678503371226219,0.4918635485477751,0.6433851670874351,43,128,43,128,,5000,5000,1.0,3021694564,20260901,11,dog,s_last
