relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name
s_pos,all_rows,all,micro,shared_target_b_fraction,0.25185056193196553,0.2268060554752452,0.2773595366326965,466,522,699,906,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,micro,shared_other_fg_fraction,0.09509874599653978,0.0779769647086366,0.11193796428526537,466,522,699,906,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,micro,shared_background_fraction,0.45414722522850837,0.4179632234652114,0.49194800057315136,466,522,699,906,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,micro,dominant_object_capture,0.4023587751865777,0.37476159126438746,0.4300694717600486,466,522,699,906,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,macro_class,map_spearman,0.4832088808332929,0.4182907385483627,0.555063316481357,522,522,906,906,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,macro_class,top05_jaccard,0.575225469521898,0.5429327578754757,0.6106311489636927,522,522,906,906,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,macro_class,top10_jaccard,0.595932728931442,0.5636022142643548,0.6309602436828817,522,522,906,906,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,macro_class,top20_jaccard,0.6152915166630262,0.5822692001449246,0.6510818445401599,522,522,906,906,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,macro_class,shared_target_a_fraction,0.19738086123886928,0.17448952899054546,0.22733321308971377,466,522,699,906,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,macro_class,shared_target_b_fraction,0.24997997490506474,0.20481392430810344,0.29463217128230046,466,522,699,906,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,macro_class,shared_other_fg_fraction,0.06908816173850182,0.055312194489625204,0.08364840619312203,466,522,699,906,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,macro_class,shared_background_fraction,0.48222148060017933,0.43338293735313077,0.5301320295474782,466,522,699,906,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,macro_class,dominant_object_capture,0.40470233753394497,0.35909004437357206,0.45335873024135576,466,522,699,906,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,micro,map_spearman,0.6650076259002142,0.5968323453858343,0.7305523104898594,375,375,375,375,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,micro,top05_jaccard,0.6710795021645756,0.6325272223759079,0.7094429659693993,375,375,375,375,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,micro,top10_jaccard,0.6926899207565381,0.653647296474975,0.7299984663383429,375,375,375,375,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,micro,top20_jaccard,0.7142233945471123,0.6756531081774168,0.7502362755011651,375,375,375,375,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,micro,shared_target_a_fraction,0.26124916425871064,0.22794358530597206,0.2961948227611725,319,375,319,375,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,micro,shared_target_b_fraction,0.2788923624675599,0.24262167733772183,0.31394477932136206,319,375,319,375,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,micro,shared_other_fg_fraction,0.000522466039707419,0.0,0.0016233766233766235,319,375,319,375,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,micro,shared_background_fraction,0.45833568953805515,0.4214702233773488,0.49542852013676275,319,375,319,375,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,micro,dominant_object_capture,0.4770138379214762,0.44194384907103684,0.5118752540291783,319,375,319,375,,5000,5000,1.0,3021694564,20260901,,
