graph,lambda,score,presence,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B3_spatial_feature,1.0,stability,absent,macro_class,spatial_entropy,0.9266542757836753,0.9265023686710873,0.9268077153317931,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,absent,macro_class,high_score_fraction,0.14048922559313204,0.14010534145387837,0.14086864656959694,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,positive,micro,mean_score,0.5292935788001278,0.5289692951257355,0.5296095472664882,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,positive,micro,top10_mean_score,0.9175444720022797,0.9171093742611407,0.9179564024139352,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,positive,micro,max_score,0.9976385504243315,0.9975333029913948,0.9977392830177289,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,positive,micro,spatial_entropy,0.9252762122068751,0.9251225558149898,0.9254255001435616,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,positive,micro,high_score_fraction,0.1368320235415736,0.13629104840552803,0.13738521965994657,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,positive,macro_class,mean_score,0.5297791270383302,0.52945498136683,0.5300854308890431,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,positive,macro_class,top10_mean_score,0.9174884230981837,0.9170502580347856,0.9179131319148687,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,positive,macro_class,max_score,0.99767213264793,0.9975616589917228,0.9977771231848466,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,positive,macro_class,spatial_entropy,0.9251364349081239,0.9249905157173817,0.9252722488226824,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,positive,macro_class,high_score_fraction,0.13673522432491897,0.13617948478774075,0.13729798767912416,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
