graph,lambda,spatial_stratum,quantity,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B2_feature,1.0,semantic_interior,local_class_map_variance,macro_class,spearman_stability_vs_quantity,-0.5348521223929,-0.5380564287859958,-0.5316388439642443,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_interior,local_graph_degree,micro,spearman_stability_vs_quantity,0.10359867520353243,0.0966257810696629,0.11059588905772551,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_interior,local_graph_degree,macro_class,spearman_stability_vs_quantity,0.1100710717860891,0.10409755080114576,0.11595204276947724,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_interior,raw_response,micro,spearman_stability_vs_quantity,-0.023131516912163662,-0.030440692226302014,-0.015857725526484553,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_interior,raw_response,macro_class,spearman_stability_vs_quantity,-0.0077421540586286195,-0.014024109807473113,-0.0017263871379788057,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_interior,relu_response,micro,spearman_stability_vs_quantity,-0.04635298953771168,-0.05438779757757979,-0.03814883736588518,1442,1449,2059,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_interior,relu_response,macro_class,spearman_stability_vs_quantity,-0.03272528742645679,-0.039498002336179824,-0.026109225291319423,1442,1449,2059,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,all_valid,boundary_distance,micro,spearman_stability_vs_quantity,0.12253552881128334,0.11670250780883817,0.1287110508617563,1432,1449,2128,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,all_valid,boundary_distance,macro_class,spearman_stability_vs_quantity,0.11491258933321387,0.10934375518381685,0.12069098397643281,1432,1449,2128,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,all_valid,local_class_map_variance,micro,spearman_stability_vs_quantity,-0.5198712278913379,-0.5229148467615323,-0.5168251081156608,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,all_valid,local_class_map_variance,macro_class,spearman_stability_vs_quantity,-0.5143896321968746,-0.5174380467422054,-0.5112797417263965,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,all_valid,local_graph_degree,micro,spearman_stability_vs_quantity,0.1047521669368851,0.09817712288443572,0.11129784960544675,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,all_valid,local_graph_degree,macro_class,spearman_stability_vs_quantity,0.11027977020632518,0.1045179623443114,0.11599101351202229,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,all_valid,raw_response,micro,spearman_stability_vs_quantity,-0.049608971872661695,-0.056411719927215484,-0.04284395583350636,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,all_valid,raw_response,macro_class,spearman_stability_vs_quantity,-0.03175730984005102,-0.03752818527066499,-0.026036687878912005,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,all_valid,relu_response,micro,spearman_stability_vs_quantity,-0.07252826279939291,-0.0803485041922298,-0.06467419745541166,1443,1449,2068,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,all_valid,relu_response,macro_class,spearman_stability_vs_quantity,-0.05618543150502815,-0.06253810246666572,-0.04987351774992132,1443,1449,2068,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_boundary,local_class_map_variance,micro,spearman_stability_vs_quantity,-0.33028291300044266,-0.33837554072781684,-0.3217948214122979,1431,1431,2127,2127,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_boundary,local_class_map_variance,macro_class,spearman_stability_vs_quantity,-0.32467366124763347,-0.3330823833972027,-0.3162375970654615,1431,1431,2127,2127,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_boundary,local_graph_degree,micro,spearman_stability_vs_quantity,-0.009052409047927446,-0.017609800877611298,-0.000992118330151712,1431,1431,2127,2127,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_boundary,local_graph_degree,macro_class,spearman_stability_vs_quantity,-0.007752792356386149,-0.016710989595076903,0.0005832110780579173,1431,1431,2127,2127,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_boundary,raw_response,micro,spearman_stability_vs_quantity,-0.14099566402164987,-0.1497506907451872,-0.13257074931975968,1431,1431,2127,2127,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_boundary,raw_response,macro_class,spearman_stability_vs_quantity,-0.1262986005735536,-0.1362306793308553,-0.1165180335686441,1431,1431,2127,2127,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_boundary,relu_response,micro,spearman_stability_vs_quantity,-0.17476151637827914,-0.18403753053823646,-0.16595097955340068,1421,1431,2012,2127,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_boundary,relu_response,macro_class,spearman_stability_vs_quantity,-0.16175992807776549,-0.17158562844369846,-0.15165165997956162,1421,1431,2012,2127,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_interior,boundary_distance,micro,spearman_stability_vs_quantity,0.12162332945334191,0.11499921172341462,0.1282460854430256,1432,1449,2128,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_interior,boundary_distance,macro_class,spearman_stability_vs_quantity,0.11312099535817759,0.10704912738818716,0.11904423540344315,1432,1449,2128,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_interior,local_class_map_variance,micro,spearman_stability_vs_quantity,-0.5582688526587085,-0.561409782739792,-0.5550598926924459,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_interior,local_class_map_variance,macro_class,spearman_stability_vs_quantity,-0.5516647063626261,-0.554759657512733,-0.5484663052082663,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_interior,local_graph_degree,micro,spearman_stability_vs_quantity,0.10988914814481002,0.10296271427375459,0.11683932042414734,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_interior,local_graph_degree,macro_class,spearman_stability_vs_quantity,0.11645681073759159,0.11052786797183166,0.12232697850273078,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_interior,raw_response,micro,spearman_stability_vs_quantity,-0.02228052625594134,-0.029712092174429786,-0.014961681527249481,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_interior,raw_response,macro_class,spearman_stability_vs_quantity,-0.006317719121893828,-0.012593260116376766,-0.0002867072874296931,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_interior,relu_response,micro,spearman_stability_vs_quantity,-0.04468131202627186,-0.05282323269320079,-0.03640514925151072,1442,1449,2059,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,semantic_interior,relu_response,macro_class,spearman_stability_vs_quantity,-0.030483420643477012,-0.037247093121375134,-0.02378561848188639,1442,1449,2059,2147,20,5000,5000,1.0,3021694564,20260901
