graph,lambda,score,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,target_top20_fraction,0.2222408330522691,0.21166711374106326,0.23295379763922022,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,other_fg_top20_fraction,0.12065218738388958,0.11092276189949239,0.13056338388256714,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,bg_top20_fraction,0.656622624995789,0.6426832299602633,0.6700138337855372,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,target_tail_enrich_20,0.704721792541636,0.6881195556803866,0.7217094869917965,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,other_fg_tail_enrich_20,0.8691145752984596,0.8247795221865462,0.9156284235131609,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,bg_tail_enrich_20,1.0350980927212499,1.0282112029509358,1.041750148379217,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,auc_target_bg,0.3835635584523347,0.37732281571463994,0.3898850421984792,1424,1449,2004,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,ap_target_bg,0.2610213122248107,0.24985388123940017,0.27192982974178515,1424,1449,2004,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,auc_target_other,0.42740674484606245,0.40401616893853637,0.45180088981736316,462,1449,1052,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,ap_target_other,0.4703195903431328,0.4379164867611474,0.5031510975701114,462,1449,1052,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,target_mean,0.45623957177678937,0.451982076819286,0.4603958121841964,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,other_fg_mean,0.48770667921876454,0.47656402675494514,0.4975360259183653,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,bg_mean,0.5375975655624334,0.536309669538206,0.5388522744990566,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,target_median,0.4147446673462708,0.4101832235120776,0.4192347309062665,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,other_fg_median,0.4548458502844248,0.443910458226271,0.46498032098727604,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,bg_median,0.5092264987269661,0.5076290805573123,0.5107974328777943,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,target_hit,0.30528586839266453,0.2761596548004315,0.3344120819848975,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,other_fg_hit,0.0,0.0,0.0,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,background_hit,0.6947141316073355,0.6655879180151025,0.7238403451995685,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,target_top05_fraction,0.31700593407756034,0.29958090672438903,0.3347521549414696,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,other_fg_top05_fraction,0.0,0.0,0.0,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,bg_top05_fraction,0.682649679344873,0.6648540175526422,0.7001139681199893,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,target_tail_enrich_05,0.8054882524393093,0.7773154100693079,0.834609007909985,921,927,921,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,bg_tail_enrich_05,1.031157238901055,1.018086925931549,1.0443336302177513,918,927,918,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,target_top10_fraction,0.31789977069475855,0.3006780040332247,0.33583382899260095,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,other_fg_top10_fraction,0.0,0.0,0.0,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,bg_top10_fraction,0.6816167313380179,0.6636852250789779,0.69885108968385,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,target_tail_enrich_10,0.8169610071419307,0.7918925242919788,0.8411090839904282,921,927,921,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,bg_tail_enrich_10,1.0219771766489607,1.0109386821910091,1.0329886687593697,918,927,918,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,target_top20_fraction,0.31761378256224776,0.3007049698658447,0.3352320924328873,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,other_fg_top20_fraction,0.0,0.0,0.0,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,bg_top20_fraction,0.681975626708292,0.6643154403779763,0.6988542145481517,927,927,927,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,target_tail_enrich_20,0.8150605911304373,0.7945671087527723,0.835127570750014,921,927,921,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,bg_tail_enrich_20,1.0263436513484865,1.0168805610476734,1.0359099867348662,918,927,918,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,auc_target_bg,0.4305516644859947,0.4225520562694372,0.43837387746267403,912,927,912,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,ap_target_bg,0.32798390290669965,0.31191528450340716,0.34444092160731116,912,927,912,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,target_mean,0.4866668745865353,0.48171076657167095,0.49140646461041,921,927,921,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,bg_mean,0.5352547243899274,0.5334144442087866,0.5369876842382159,918,927,918,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,target_median,0.4482467835779169,0.4428436188713512,0.45364712797648027,921,927,921,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,micro,bg_median,0.506715259999686,0.5044239288173766,0.5089098417897043,918,927,918,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,macro_class,target_hit,0.3053465434428196,0.2669487465020625,0.3455935879452691,927,927,927,927,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,macro_class,other_fg_hit,0.0,0.0,0.0,927,927,927,927,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,single_label,macro_class,background_hit,0.6946534565571802,0.6544064120547308,0.7330512534979374,927,927,927,927,20,5000,5000,1.0,3021694564,20260901
