graph,lambda,region,location,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.4767502664603242,0.47138869650969845,0.48205611789373387,439,445,439,445,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.34636012384994697,0.34178687769096594,0.3509236758877546,439,445,439,445,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6536821771183969,0.6478473761558392,0.6594287664084303,439,445,439,445,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5128893312484072,0.5055884742206629,0.5201887390466752,84,85,84,85,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.4784926122852734,0.46893979926549256,0.4879568401019929,84,85,84,85,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.3526073307508514,0.34508458906682915,0.36064523433280343,84,85,84,85,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6528213760327726,0.6408694789586107,0.6653932051576046,84,85,84,85,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.523391532966481,0.5116075056627342,0.5339685240959559,57,57,57,57,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.4889707073830722,0.4734175458550453,0.503441100489152,57,57,57,57,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.3589431549373426,0.34814221144964297,0.3693711136810874,57,57,57,57,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6692090325972491,0.6501769179968457,0.68604802886645,57,57,57,57,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.497703311931776,0.4883586145732902,0.5067799848681086,85,90,85,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.45989097111365373,0.4478607044884327,0.4721162699776537,85,90,85,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.3361243115190197,0.32688317308094095,0.34534415066037927,85,90,85,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6338041084654191,0.6189308893706265,0.6487176883602174,85,90,85,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5314439788664816,0.521671326921227,0.54122802184415,83,84,83,84,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.5042459822921868,0.4908117654632373,0.5178519592839504,83,84,83,84,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.37154861894178104,0.3608416207023611,0.38204736229570874,83,84,83,84,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6787634244166225,0.6648196735744735,0.6929231824984372,83,84,83,84,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5164499970273424,0.5048401022638965,0.5279511941615173,72,74,72,74,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.4824035500900613,0.4673007397550262,0.49686926514084717,72,74,72,74,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.3597396949513091,0.34685548207537614,0.3731036951138706,72,74,72,74,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.651202797372308,0.6362264973846667,0.6658868816449468,72,74,72,74,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,all,micro,mean_stability,0.5425527887899948,0.5407471445148269,0.5442731215579143,1430,1449,2117,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,all,micro,median_stability,0.5158902427034666,0.5137234374460802,0.517953586994174,1430,1449,2117,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,all,micro,q25_stability,0.378945325129526,0.37708334858736936,0.38081410738136157,1430,1449,2117,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,all,micro,q75_stability,0.6918259656754484,0.6894925836154419,0.6939697947338765,1430,1449,2117,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,all,macro_class,mean_stability,0.5412238428367213,0.5396660963772334,0.5427563606866438,1430,1449,2117,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,all,macro_class,median_stability,0.5138062054248801,0.5119071307477058,0.5157008055453214,1430,1449,2117,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,all,macro_class,q25_stability,0.37763158226384747,0.37603171638936467,0.37929797116310127,1430,1449,2117,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,all,macro_class,q75_stability,0.6901376950330295,0.6880451074393945,0.6921927436172343,1430,1449,2117,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,single_label,micro,mean_stability,0.5385246323865359,0.5363615251339725,0.540554585962832,917,927,917,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,single_label,micro,median_stability,0.5108681197482341,0.5081642082121011,0.5135192614230658,917,927,917,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,single_label,micro,q25_stability,0.372788726739106,0.37045441986821703,0.3750644388275172,917,927,917,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,single_label,micro,q75_stability,0.6890907166779626,0.6863006895080344,0.691892466717701,917,927,917,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,single_label,macro_class,mean_stability,0.5423589889135585,0.5400658034363248,0.5449919511091689,917,927,917,927,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,single_label,macro_class,median_stability,0.5158965628254356,0.5129362704507229,0.5193676142789823,917,927,917,927,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,single_label,macro_class,q25_stability,0.37838290444994216,0.3753771075790976,0.3821860876813959,917,927,917,927,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,single_label,macro_class,q75_stability,0.6918731829400324,0.6892692520062929,0.6945816234636307,917,927,917,927,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,exactly_2_labels,micro,mean_stability,0.5454632624323303,0.5420419734123664,0.5487191005716187,368,375,736,750,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,exactly_2_labels,micro,median_stability,0.5200759884698883,0.5161172560818064,0.5239770580864663,368,375,736,750,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,exactly_2_labels,micro,q25_stability,0.3839409635199801,0.3806650012067041,0.38723621397750435,368,375,736,750,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,exactly_2_labels,micro,q75_stability,0.6938092517059135,0.6890635995270563,0.6981336608693693,368,375,736,750,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,exactly_2_labels,macro_class,mean_stability,0.544503854593389,0.5402761450704369,0.5483847773853672,368,375,736,750,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,exactly_2_labels,macro_class,median_stability,0.518109924707767,0.5130490221132076,0.5230265641018373,368,375,736,750,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,exactly_2_labels,macro_class,q25_stability,0.38294992472164685,0.37857959384938566,0.38710615247730484,368,375,736,750,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,exactly_2_labels,macro_class,q75_stability,0.6922306869419905,0.6866255067707142,0.6972960772412362,368,375,736,750,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,3plus_labels,micro,mean_stability,0.5458969931460583,0.5416957331030589,0.5499284752284147,145,147,464,470,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,3plus_labels,micro,median_stability,0.5191759708626517,0.5138870162514884,0.5241887321460801,145,147,464,470,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,3plus_labels,micro,q25_stability,0.38318845200159685,0.37828437406378956,0.38790299905334585,145,147,464,470,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,3plus_labels,micro,q75_stability,0.6940857174260349,0.6892887376835619,0.6987483209333816,145,147,464,470,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,3plus_labels,macro_class,mean_stability,0.5432027813829557,0.5369421241988748,0.5485148772822824,145,147,464,470,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,3plus_labels,macro_class,median_stability,0.5156836748505604,0.5069071177543221,0.5226125670565773,145,147,464,470,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,3plus_labels,macro_class,q25_stability,0.37823571295028857,0.37130807429548535,0.3854533253950991,145,147,464,470,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,all_positive_classes,3plus_labels,macro_class,q75_stability,0.6926877122977864,0.6833979827950966,0.6987184912006951,145,147,464,470,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,per_class,all,micro,mean_stability,0.5389777151480314,0.534867469215945,0.5429454901120694,90,90,90,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,per_class,all,micro,median_stability,0.5142424828476376,0.5092393048273193,0.5191095585748554,90,90,90,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,per_class,all,micro,q25_stability,0.36486189795864954,0.3589982715456022,0.37062045103766855,90,90,90,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,per_class,all,micro,q75_stability,0.7011575041545762,0.6953549818487631,0.706662363761829,90,90,90,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,per_class,all,micro,mean_stability,0.5416031327184374,0.5361939412359098,0.5464704542341642,79,79,79,79,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,interior,per_class,all,micro,median_stability,0.5125913746372054,0.506194858116251,0.518464945577368,79,79,79,79,,5000,5000,1.0,3021694564,20260901
